name	Phylum	Class	Order	Family	in_uk	in_dataset	taxonium_link
Cerambycidae	Euarthropoda	Insecta	Coleoptera	Cerambycidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCerambycidae%2FCerambycidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCerambycidae%2Fcerambycidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Disteniidae	Euarthropoda	Insecta	Coleoptera	Disteniidae	False		
Vesperidae	Euarthropoda	Insecta	Coleoptera	Vesperidae	False		
Orsodacnidae	Euarthropoda	Insecta	Coleoptera	Orsodacnidae	False		
Megalopodidae	Euarthropoda	Insecta	Coleoptera	Megalopodidae	False		
Oxypeltidae	Euarthropoda	Insecta	Coleoptera	Oxypeltidae	False		
Chrysomelidae	Euarthropoda	Insecta	Coleoptera	Chrysomelidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FChrysomelidae%2FChrysomelidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FChrysomelidae%2Fchrysomelidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Curculionidae	Euarthropoda	Insecta	Coleoptera	Curculionidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCurculionidae%2FCurculionidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCurculionidae%2Fcurculionidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Brentidae	Euarthropoda	Insecta	Coleoptera	Brentidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FBrentidae%2FBrentidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FBrentidae%2Fbrentidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Caridae	Euarthropoda	Insecta	Coleoptera	Caridae	False		
Attelabidae	Euarthropoda	Insecta	Coleoptera	Attelabidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FAttelabidae%2FAttelabidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FAttelabidae%2Fattelabidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Belidae	Euarthropoda	Insecta	Coleoptera	Belidae	False		
Anthribidae	Euarthropoda	Insecta	Coleoptera	Anthribidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FAnthribidae%2FAnthribidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FAnthribidae%2Fanthribidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Nemonychidae	Euarthropoda	Insecta	Coleoptera	Nemonychidae	False		
Cimberididae	Euarthropoda	Insecta	Coleoptera	Cimberididae	False		
Laemophloeidae	Euarthropoda	Insecta	Coleoptera	Laemophloeidae	False		
Propalticidae	Euarthropoda	Insecta	Coleoptera	Propalticidae	False		
Phalacridae	Euarthropoda	Insecta	Coleoptera	Phalacridae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FPhalacridae%2FPhalacridae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FPhalacridae%2Fphalacridae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Passandridae	Euarthropoda	Insecta	Coleoptera	Passandridae	False		
Myraboliidae	Euarthropoda	Insecta	Coleoptera	Myraboliidae	False		
Priasilphidae	Euarthropoda	Insecta	Coleoptera	Priasilphidae	False		
Agapythidae	Euarthropoda	Insecta	Coleoptera	Agapythidae	False		
Phloeostichidae	Euarthropoda	Insecta	Coleoptera	Phloeostichidae	False		
Cavognathidae	Euarthropoda	Insecta	Coleoptera	Cavognathidae	False		
Cyclaxyridae	Euarthropoda	Insecta	Coleoptera	Cyclaxyridae	False		
Tasmosalpingidae	Euarthropoda	Insecta	Coleoptera	Tasmosalpingidae	False		
Lamingtoniidae	Euarthropoda	Insecta	Coleoptera	Lamingtoniidae	False		
Silvanidae	Euarthropoda	Insecta	Coleoptera	Silvanidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FSilvanidae%2FSilvanidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FSilvanidae%2Fsilvanidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Cucujidae	Euarthropoda	Insecta	Coleoptera	Cucujidae	False		
Cryptophagidae	Euarthropoda	Insecta	Coleoptera	Cryptophagidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCryptophagidae%2FCryptophagidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCryptophagidae%2Fcryptophagidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Hobartiidae	Euarthropoda	Insecta	Coleoptera	Hobartiidae	False		
Kateretidae	Euarthropoda	Insecta	Coleoptera	Kateretidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FKateretidae%2FKateretidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FKateretidae%2Fkateretidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Cybocephalidae	Euarthropoda	Insecta	Coleoptera	Cybocephalidae	False		
Nitidulidae	Euarthropoda	Insecta	Coleoptera	Nitidulidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FNitidulidae%2FNitidulidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FNitidulidae%2Fnitidulidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Smicripidae	Euarthropoda	Insecta	Coleoptera	Smicripidae	False		
Monotomidae	Euarthropoda	Insecta	Coleoptera	Monotomidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FMonotomidae%2FMonotomidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FMonotomidae%2Fmonotomidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Protocucujidae	Euarthropoda	Insecta	Coleoptera	Protocucujidae	False		
Sphindidae	Euarthropoda	Insecta	Coleoptera	Sphindidae	True		
Helotidae	Euarthropoda	Insecta	Coleoptera	Helotidae	False		
Boganiidae	Euarthropoda	Insecta	Coleoptera	Boganiidae	False		
Erotylidae	Euarthropoda	Insecta	Coleoptera	Erotylidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FErotylidae%2FErotylidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FErotylidae%2Ferotylidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Endomychidae	Euarthropoda	Insecta	Coleoptera	Endomychidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FEndomychidae%2FEndomychidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FEndomychidae%2Fendomychidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Eupsilobiidae	Euarthropoda	Insecta	Coleoptera	Eupsilobiidae	False		
Mycetaeidae	Euarthropoda	Insecta	Coleoptera	Mycetaeidae	False		
Akalyptoischiidae	Euarthropoda	Insecta	Coleoptera	Akalyptoischiidae	False		
Coccinellidae	Euarthropoda	Insecta	Coleoptera	Coccinellidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCoccinellidae%2FCoccinellidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCoccinellidae%2Fcoccinellidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Anamorphidae	Euarthropoda	Insecta	Coleoptera	Anamorphidae	False		
Corylophidae	Euarthropoda	Insecta	Coleoptera	Corylophidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCorylophidae%2FCorylophidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FCorylophidae%2Fcorylophidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Latridiidae	Euarthropoda	Insecta	Coleoptera	Latridiidae	True	BIOSCAN	[🌳 Open tree](https://taxonium.org/?treeUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FLatridiidae%2FLatridiidae_final_tree.newick&metaUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fdata%2FLatridiidae%2Flatridiidae_metadata_FINAL.tsv&configUrl=https%3A%2F%2Fraw.githubusercontent.com%2FLyndallP%2Fbioscan-phylogenetics%2Fmain%2Fconfig.json)
Alexiidae	Euarthropoda	Insecta	Coleoptera	Alexiidae	False		
Euxestidae	Euarthropoda	Insecta	Coleoptera	Euxestidae	False		
Teredidae	Euarthropoda	Insecta	Coleoptera	Teredidae	False		
Discolomatidae	Euarthropoda	Insecta	Coleoptera	Discolomatidae	False		
Murmidiidae	Euarthropoda	Insecta	Coleoptera	Murmidiidae	False		
