name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Cossus_cossus|BOLDADV5890|GBMNA30594-19	BOLD:ADV5890	Cossus cossus		UKSI_no_specimens	Spain	True	reference_tree				E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBMNA30594-19		NBNSYS0000005662	0		Cossidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Cossus%20cossus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Cossus%20cossus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Cossus%20cossus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADV5890)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNA30594-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADV5890[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
Cossus_cossus|BOLDAHC5534|GBMNA30587-19	BOLD:AHC5534	Cossus cossus		UKSI_no_specimens	Lebanon	True	reference_tree			0.533	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBMNA30587-19		NBNSYS0000005662	0		Cossidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Cossus%20cossus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Cossus%20cossus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Cossus%20cossus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AHC5534)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNA30587-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AHC5534[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Cossus_cossus|BOLDAAE4069|FBLMX240-11	BOLD:AAE4069	Cossus cossus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.23_168.9e3d59dc-5672-4df1-bfa7-08d2b65bcecf.jpg	UKSI_no_specimens	Germany	True	reference_tree			0.511	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	FBLMX240-11		NBNSYS0000005662	0		Cossidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Cossus%20cossus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Cossus%20cossus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Cossus%20cossus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE4069)	[🔬 This specimen](https://portal.boldsystems.org/result?query=FBLMX240-11[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAE4069[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Cossus_cossus|BOLDACQ1397|GBAAM30534-25	BOLD:ACQ1397	Cossus cossus		UKSI_no_specimens	China	True	reference_tree			0.99	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBAAM30534-25		NBNSYS0000005662	0		Cossidae	East Asia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Cossus%20cossus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Cossus%20cossus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Cossus%20cossus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACQ1397)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAM30534-25[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACQ1397[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Eogystia_hippophaecolus|BOLDACQ0658|GBMNA10044-19	BOLD:ACQ0658	Eogystia hippophaecolus		Europe_reference	Unknown	False	reference_tree			0.0	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBMNA10044-19		NBNSYS0000005662	0		Cossidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Eogystia%20hippophaecolus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Eogystia%20hippophaecolus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Eogystia%20hippophaecolus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACQ0658)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNA10044-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACQ0658[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Yakudza_vicarius|BOLDACQ0658|GBGL13671-14	BOLD:ACQ0658	Yakudza vicarius		Europe_reference	China	False	reference_tree			0.0	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBGL13671-14		NBNSYS0000005662	0		Cossidae	East Asia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Yakudza%20vicarius)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Yakudza%20vicarius%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Yakudza%20vicarius)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACQ0658)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBGL13671-14[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACQ0658[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Streltzoviella_insularis|BOLDACQ0658|GBMNC49269-20	BOLD:ACQ0658	Streltzoviella insularis		Europe_reference	Unknown	False	reference_tree			0.367	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBMNC49269-20		NBNSYS0000005662	0		Cossidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Streltzoviella%20insularis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Streltzoviella%20insularis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Streltzoviella%20insularis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACQ0658)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNC49269-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACQ0658[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Cossus_cossus|BOLDACQ0658|GBMNC49249-20	BOLD:ACQ0658	Cossus cossus		UKSI_no_specimens	Unknown	True	reference_tree			1.0	E	shares_BIN_with_other_species	16	BOLD:AAE4069; BOLD:AAP5664; BOLD:ABZ3337; BOLD:ACQ0658; BOLD:ACQ1397; BOLD:ADV5890; BOLD:AEA3988; BOLD:AFA3407; BOLD:AHC5533; BOLD:AHC5534; BOLD:AHC5535; BOLD:AHC5537; BOLD:AHC5538; BOLD:AHC5539; BOLD:AHC5540; BOLD:AHC5541	False				Reference	GBMNC49249-20		NBNSYS0000005662	0		Cossidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Cossus%20cossus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Cossus%20cossus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Cossus%20cossus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACQ0658)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNC49249-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACQ0658[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Zeuzera_pyrina|BOLDAFE4454|LPALE1363-23	BOLD:AFE4454	Zeuzera pyrina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.17_299.e9ec5a32-640b-4c00-aecb-a66ba59b926a.jpg	UKSI_no_specimens	Greece	True	reference_tree			1.0	E	shares_BIN_with_other_species	9	BOLD:AAD8444; BOLD:AAV2990; BOLD:AAV8497; BOLD:ACQ5246; BOLD:AFE4454; BOLD:AFE6938; BOLD:AFE6939; BOLD:AFE6940; BOLD:AFT9086	False				Reference	LPALE1363-23		NBNSYS0000005661	0		Cossidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Zeuzera%20pyrina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Zeuzera%20pyrina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Zeuzera%20pyrina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AFE4454)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPALE1363-23[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AFE4454[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Zeuzera_pyrina|BOLDAAD8444|CGUKD386-09	BOLD:AAD8444	Zeuzera pyrina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.24_133.f4e909d5-49cf-4094-bb8f-93a678de3bf5.jpg	UKSI_no_specimens	United Kingdom	True	reference_tree			0.973	E	shares_BIN_with_other_species	9	BOLD:AAD8444; BOLD:AAV2990; BOLD:AAV8497; BOLD:ACQ5246; BOLD:AFE4454; BOLD:AFE6938; BOLD:AFE6939; BOLD:AFE6940; BOLD:AFT9086	False				Reference	CGUKD386-09		NBNSYS0000005661	0		Cossidae	British Isles	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Zeuzera%20pyrina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Zeuzera%20pyrina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Zeuzera%20pyrina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD8444)	[🔬 This specimen](https://portal.boldsystems.org/result?query=CGUKD386-09[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD8444[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
