name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Tethea_or|BOLDABX0817|GWOTG511-12	BOLD:ABX0817	Tethea or	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.12_115.792595c8-a82f-432c-bea0-e46510282ec4.jpg	UKSI_no_specimens	Georgia	True	reference_tree			0.991	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GWOTG511-12		NHMSYS0000521108	0		Drepanidae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20or)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20or%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20or)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABX0817)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWOTG511-12[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABX0817[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_or|BOLDAAL5880|GWORZ145-10	BOLD:AAL5880	Tethea or	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.10_222.54ee7864-4326-4345-82b6-4cb95737145a.jpg	UKSI_no_specimens	Italy	True	reference_tree			0.909	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GWORZ145-10		NHMSYS0000521108	0		Drepanidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20or)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20or%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20or)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAL5880)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWORZ145-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAL5880[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_or|BOLDAAC9855|GBAAN10255-25	BOLD:AAC9855	Tethea or		UKSI_no_specimens	Unrecoverable	True	reference_tree			0.864	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GBAAN10255-25		NHMSYS0000521108	0		Drepanidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20or)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20or%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20or)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC9855)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAN10255-25[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAC9855[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_or|BOLDAAC9856|ABOLA269-14	BOLD:AAC9856	Tethea or	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.17_212.b199899c-e187-4d5c-85f3-1c8b97c2c58f.jpg	UKSI_no_specimens	Austria	True	reference_tree			0.727	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	ABOLA269-14		NHMSYS0000521108	0		Drepanidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20or)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20or%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20or)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC9856)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ABOLA269-14[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAC9856[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_or|BOLDAFT6464|BCLEP1171-23	BOLD:AFT6464	Tethea or	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.14_204.ddee30d1-c3b7-42a2-b77f-1fd9bd13145b.jpg	UKSI_no_specimens	Italy	True	reference_tree			0.727	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	BCLEP1171-23		NHMSYS0000521108	0		Drepanidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20or)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20or%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20or)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AFT6464)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BCLEP1171-23[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AFT6464[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_albicostata|BOLDACJ1159|GBMNC50300-20	BOLD:ACJ1159	Tethea albicostata		Europe_reference	Unknown	False	reference_tree			0.08	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GBMNC50300-20		NHMSYS0000521108	0		Drepanidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20albicostata)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20albicostata%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20albicostata)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACJ1159)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNC50300-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACJ1159[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_or|BOLDACJ1159|GBMIN79663-17	BOLD:ACJ1159	Tethea or		UKSI_no_specimens	Unknown	True	reference_tree			0.0	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GBMIN79663-17		NHMSYS0000521108	0		Drepanidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20or)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20or%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20or)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACJ1159)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMIN79663-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACJ1159[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_octogesima|BOLDACJ1159|INSSD1485-20	BOLD:ACJ1159	Tethea octogesima	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.12_296.4c716569-de65-4af8-8350-79d386b044a2.jpg	Europe_reference	China	False	reference_tree			0.0	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	INSSD1485-20		NHMSYS0000521108	0		Drepanidae	East Asia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20octogesima)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20octogesima%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20octogesima)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACJ1159)	[🔬 This specimen](https://portal.boldsystems.org/result?query=INSSD1485-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACJ1159[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_ampliata|BOLDACJ1159|GBMNC50339-20	BOLD:ACJ1159	Tethea ampliata		Europe_reference	Unknown	False	reference_tree			0.997	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GBMNC50339-20		NHMSYS0000521108	0		Drepanidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20ampliata)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20ampliata%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20ampliata)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACJ1159)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNC50339-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACJ1159[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Tethea_ocularis|BOLDAAD6933|GBMNC50307-20	BOLD:AAD6933	Tethea ocularis		UKSI_no_specimens	Unknown	True	reference_tree			1.0	E	shares_BIN_with_other_species	8	BOLD:AAC9855; BOLD:AAC9856; BOLD:AAD6933; BOLD:AAL5880; BOLD:AAN9514; BOLD:ABX0817; BOLD:ACJ1159; BOLD:AFT6464	False				Reference	GBMNC50307-20		NHMSYS0000521108	0		Drepanidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Tethea%20ocularis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Tethea%20ocularis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Tethea%20ocularis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD6933)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNC50307-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD6933[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
