name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Gnaphosa_nigerrima|BOLDABU9661|CHEFI355-12	BOLD:ABU9661	Gnaphosa nigerrima	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.16_201.930373d4-ae3e-43f7-85cd-6d1d9a418eb4.jpg	UKSI_no_specimens	Finland	True	reference_tree			0.995	B	clean	1	BOLD:ABU9661	False				Reference	CHEFI355-12		NBNSYS0000147833	0		Gnaphosidae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Gnaphosa%20nigerrima)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Gnaphosa%20nigerrima%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Gnaphosa%20nigerrima)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABU9661)	[🔬 This specimen](https://portal.boldsystems.org/result?query=CHEFI355-12[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABU9661[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Gnaphosa_lugubris|BOLDAAP3064|BIOSC036-24	BOLD:AAP3064	Gnaphosa lugubris	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.25_191.40425147-581f-48d0-aad6-e5362001450c.jpeg	UKSI_no_specimens	Georgia	True	reference_tree			0.999	E	shares_BIN_with_other_species	1	BOLD:AAP3064	False				Reference	BIOSC036-24		NBNSYS0000008665	0		Gnaphosidae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Gnaphosa%20lugubris)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Gnaphosa%20lugubris%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Gnaphosa%20lugubris)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAP3064)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BIOSC036-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAP3064[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Gnaphosa_taurica|BOLDAAP3064|SPICR033-10	BOLD:AAP3064	Gnaphosa taurica	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.10_144.7d3af121-b956-4094-b06c-e8ae147c046f.jpg	Europe_reference	Russia	False	reference_tree			0.999	E	shares_BIN_with_other_species	1	BOLD:AAP3064	False				Reference	SPICR033-10		NBNSYS0000008665	0		Gnaphosidae	Eastern Europe	False	[🌍 GBIF map](https://www.gbif.org/species/search?q=Gnaphosa%20taurica)		[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Gnaphosa%20taurica)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAP3064)	[🔬 This specimen](https://portal.boldsystems.org/result?query=SPICR033-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAP3064[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Gnaphosa_leporina|BOLDADH3221|AALAR169-18	BOLD:ADH3221	Gnaphosa leporina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.10_251.7a9b990b-c338-4e37-9d40-62f31b5692e4.jpg	UKSI_no_specimens	Austria	True	reference_tree			0.95	C	split_across_2_BINs	2	BOLD:ADH3221; BOLD:AEH9493	False				Reference	AALAR169-18		NBNSYS0000008667	0		Gnaphosidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Gnaphosa%20leporina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Gnaphosa%20leporina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Gnaphosa%20leporina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADH3221)	[🔬 This specimen](https://portal.boldsystems.org/result?query=AALAR169-18[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADH3221[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Gnaphosa_leporina|BOLDAEH9493|ZMBN2078-21	BOLD:AEH9493	Gnaphosa leporina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.19_198.676c3849-2404-433f-b26a-b359d74c8290.jpg	UKSI_no_specimens	Norway	True	reference_tree			0.95	C	split_across_2_BINs	2	BOLD:ADH3221; BOLD:AEH9493	False				Reference	ZMBN2078-21		NBNSYS0000008667	0		Gnaphosidae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Gnaphosa%20leporina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Gnaphosa%20leporina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Gnaphosa%20leporina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEH9493)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ZMBN2078-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEH9493[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micaria_subopaca|BOLDAAZ9695|CHEFI366-12	BOLD:AAZ9695	Micaria subopaca	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_257.5cb0cbaa-f3e9-4232-b051-784f1e98e57d.jpg	UKSI_no_specimens	Finland	True	reference_tree			0.951	B	clean	1	BOLD:AAZ9695	False				Reference	CHEFI366-12		NBNSYS0000008672	0		Gnaphosidae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micaria%20subopaca)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micaria%20subopaca%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micaria%20subopaca)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAZ9695)	[🔬 This specimen](https://portal.boldsystems.org/result?query=CHEFI366-12[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAZ9695[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micaria_alpina|BOLDADG9516|AALAR002-17	BOLD:ADG9516	Micaria alpina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.10_131.8249d70a-4c7a-4bc8-9507-102e892ea3b4.jpg	UKSI_no_specimens	Italy	True	reference_tree			1.0	C	split_across_3_BINs	3	BOLD:AAF7625; BOLD:ADG9516; BOLD:ADM2839	False				Reference	AALAR002-17		NBNSYS0000008671	0		Gnaphosidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micaria%20alpina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micaria%20alpina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micaria%20alpina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADG9516)	[🔬 This specimen](https://portal.boldsystems.org/result?query=AALAR002-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADG9516[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micaria_alpina|BOLDAAF7625|AALAR177-18	BOLD:AAF7625	Micaria alpina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.20_139.3d803fe8-6453-4eec-a03b-9d1de209d198.jpg	UKSI_no_specimens	Italy	True	reference_tree			0.83	C	split_across_3_BINs	3	BOLD:AAF7625; BOLD:ADG9516; BOLD:ADM2839	False				Reference	AALAR177-18		NBNSYS0000008671	0		Gnaphosidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micaria%20alpina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micaria%20alpina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micaria%20alpina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF7625)	[🔬 This specimen](https://portal.boldsystems.org/result?query=AALAR177-18[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAF7625[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micaria_alpina|BOLDADM2839|AALAR019-17	BOLD:ADM2839	Micaria alpina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.25_199.9ae6d3fa-4d04-487a-8afd-3b2627f0fb9f.jpg	UKSI_no_specimens	Italy	True	reference_tree			0.83	C	split_across_3_BINs	3	BOLD:AAF7625; BOLD:ADG9516; BOLD:ADM2839	False				Reference	AALAR019-17		NBNSYS0000008671	0		Gnaphosidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micaria%20alpina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micaria%20alpina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micaria%20alpina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADM2839)	[🔬 This specimen](https://portal.boldsystems.org/result?query=AALAR019-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADM2839[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micaria_albovittata|BOLDACC4589|BIOSC1904-25	BOLD:ACC4589	Micaria albovittata	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.21_133.f97b8265-bc64-429d-b135-55a68ad9bccf.jpg	UKSI_no_specimens	Georgia	True	reference_tree			1.0	C	split_across_2_BINs	2	BOLD:ACC4589; BOLD:ACP5270	False				Reference	BIOSC1904-25		NHMSYS0020785971	0		Gnaphosidae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micaria%20albovittata)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micaria%20albovittata%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micaria%20albovittata)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACC4589)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BIOSC1904-25[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACC4589[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
