name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Polyommatus_eros|BOLDAAA3303|GBGL1003-06	BOLD:AAA3303	Polyommatus eros		Not_in_UKSI	Turkiye	False	reference_tree				E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBGL1003-06		NHMSYS0020755533	2		Lycaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20eros)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20eros%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20eros)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBGL1003-06[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
Polyommatus_boisduvalii|BOLDAAA3303|GBGL5279-09	BOLD:AAA3303	Polyommatus boisduvalii		Not_in_UKSI	Russia	False	reference_tree			0.774	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBGL5279-09		NHMSYS0020755533	2		Lycaenidae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20boisduvalii)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20boisduvalii%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20boisduvalii)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBGL5279-09[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_kashgharensis|BOLDAAA3303|GBMNF22388-22	BOLD:AAA3303	Polyommatus kashgharensis		Not_in_UKSI	Unknown	False	reference_tree			0.0	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBMNF22388-22		NHMSYS0020755533	2		Lycaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20kashgharensis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20kashgharensis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20kashgharensis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNF22388-22[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_szabokyi|BOLDAAA3303|GBMNF22392-22	BOLD:AAA3303	Polyommatus szabokyi		Not_in_UKSI	Unknown	False	reference_tree			0.0	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBMNF22392-22		NHMSYS0020755533	2		Lycaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20szabokyi)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20szabokyi%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20szabokyi)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNF22392-22[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_fominae|BOLDAAA3303|GBGL35392-19	BOLD:AAA3303	Polyommatus fominae		Not_in_UKSI	Russia	False	reference_tree			1.0	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBGL35392-19		NHMSYS0020755533	2		Lycaenidae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20fominae)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20fominae%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20fominae)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBGL35392-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_icadius|BOLDAAA3303|GBGL5067-08	BOLD:AAA3303	Polyommatus icadius		Not_in_UKSI	Russia	False	reference_tree			1.0	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBGL5067-08		NHMSYS0020755533	2		Lycaenidae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20icadius)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20icadius%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20icadius)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBGL5067-08[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_bilucha|BOLDAAA3303|GBMIN29329-13	BOLD:AAA3303	Polyommatus bilucha		Not_in_UKSI	Afghanistan	False	reference_tree			0.0	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBMIN29329-13		NHMSYS0020755533	2		Lycaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20bilucha)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20bilucha%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20bilucha)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMIN29329-13[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_hunza|BOLDAAA3303|GWOTS891-19	BOLD:AAA3303	Polyommatus hunza	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.14_209.d4c5d21e-34ff-4838-861e-cc6ce012ebbf.jpg	Not_in_UKSI	Tajikistan	False	reference_tree			0.0	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GWOTS891-19		NHMSYS0020755533	2		Lycaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20hunza)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20hunza%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20hunza)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWOTS891-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Polyommatus_buzulmavi|BOLDAAA3303|GBGL8637-12	BOLD:AAA3303	Polyommatus buzulmavi		Not_in_UKSI	Turkiye	False	reference_tree			0.554	E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	True				Reference	GBGL8637-12		NHMSYS0020755533	2		Lycaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Polyommatus%20buzulmavi)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Polyommatus%20buzulmavi%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Polyommatus%20buzulmavi)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBGL8637-12[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Callophrys_rubi|BOLDAAA3303|WMB2333-13	BOLD:AAA3303	Callophrys rubi	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.25_152.d91cc113-a92c-445e-afc1-54808db7f1c0.jpg	BIOSCAN_collected	Italy	True	reference_tree				E	shares_BIN_with_other_species	2	BOLD:AAA3303; BOLD:AAD1981	False				Reference	WMB2333-13		NHMSYS0020755533	2		Lycaenidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Callophrys%20rubi)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Callophrys%20rubi%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Callophrys%20rubi)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3303)	[🔬 This specimen](https://portal.boldsystems.org/result?query=WMB2333-13[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAA3303[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
