name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Micranurida_pygmaea|BOLDACU0062|NORCO473-15	BOLD:ACU0062	Micranurida pygmaea	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.10_270.ec104adb-1e9f-40fe-90b9-ec0db7e64223.jpg	UKSI_no_specimens	Norway	True	reference_tree			0.998	C	split_across_4_BINs	4	BOLD:ABA8528; BOLD:ACS8079; BOLD:ACU0062; BOLD:AEB3800	False				Reference	NORCO473-15		NBNSYS0100000163	0		Neanuridae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micranurida%20pygmaea)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micranurida%20pygmaea%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micranurida%20pygmaea)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACU0062)	[🔬 This specimen](https://portal.boldsystems.org/result?query=NORCO473-15[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACU0062[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micranurida_pygmaea|BOLDABA8528|COLLH3600-11	BOLD:ABA8528	Micranurida pygmaea	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.22_274.9cd36539-65e4-4603-b5a9-09d998ef9a27.jpg	UKSI_no_specimens	Moldova	True	reference_tree			0.593	C	split_across_4_BINs	4	BOLD:ABA8528; BOLD:ACS8079; BOLD:ACU0062; BOLD:AEB3800	False				Reference	COLLH3600-11		NBNSYS0100000163	0		Neanuridae	Eastern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micranurida%20pygmaea)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micranurida%20pygmaea%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micranurida%20pygmaea)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA8528)	[🔬 This specimen](https://portal.boldsystems.org/result?query=COLLH3600-11[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABA8528[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Micranurida_pygmaea|BOLDACS8079|NORCO227-15	BOLD:ACS8079	Micranurida pygmaea	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_285.d4028e62-0c4d-44df-ba9c-fcb90829b929.jpg	UKSI_no_specimens	Svalbard and Jan Mayen	True	reference_tree			0.593	C	split_across_4_BINs	4	BOLD:ABA8528; BOLD:ACS8079; BOLD:ACU0062; BOLD:AEB3800	False				Reference	NORCO227-15		NBNSYS0100000163	0		Neanuridae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Micranurida%20pygmaea)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Micranurida%20pygmaea%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Micranurida%20pygmaea)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACS8079)	[🔬 This specimen](https://portal.boldsystems.org/result?query=NORCO227-15[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACS8079[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Unidentified|BOLDABW8994|COLLH7559-17	BOLD:ABW8994	Unidentified	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.21_137.c2078ded-c25e-46fd-939a-b1efef92e2cb.jpg	Europe_reference	United Kingdom	False	reference_tree			0.979					False				Reference	COLLH7559-17			0		Neanuridae	British Isles	False						[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABW8994)	[🔬 This specimen](https://portal.boldsystems.org/result?query=COLLH7559-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABW8994[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Unidentified|BOLDADH7509|COLLH7580-17	BOLD:ADH7509	Unidentified	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.11_227.cb0b752d-887f-4854-b13b-eb3106cd4c0f.jpg	Europe_reference	United Kingdom	False	reference_tree			0.999					False				Reference	COLLH7580-17			0		Neanuridae	British Isles	False						[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADH7509)	[🔬 This specimen](https://portal.boldsystems.org/result?query=COLLH7580-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADH7509[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Friesea_claviseta|BOLDAAB7291|GBCM19832-19	BOLD:AAB7291	Friesea claviseta		UKSI_no_specimens	Unknown	True	reference_tree			0.816	C	split_across_2_BINs	2	BOLD:AAB7291; BOLD:ACG6406	False				Reference	GBCM19832-19		NBNSYS0100000117	0		Neanuridae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Friesea%20claviseta)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Friesea%20claviseta%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Friesea%20claviseta)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB7291)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBCM19832-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAB7291[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Friesea_truncata|BOLDAFA5784|TBGMI054-21	BOLD:AFA5784	Friesea truncata		UKSI_no_specimens	Germany	True	reference_tree			0.816	C	split_across_3_BINs	3	BOLD:AFA5784; BOLD:AGX2866; BOLD:AGX2867	False				Reference	TBGMI054-21		NBNSYS0100000121	0		Neanuridae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Friesea%20truncata)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Friesea%20truncata%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Friesea%20truncata)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AFA5784)	[🔬 This specimen](https://portal.boldsystems.org/result?query=TBGMI054-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AFA5784[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Friesea_truncata|BOLDAGX2866|LUBWC304-25	BOLD:AGX2866	Friesea truncata		UKSI_no_specimens	Germany	True	reference_tree			0.35	C	split_across_3_BINs	3	BOLD:AFA5784; BOLD:AGX2866; BOLD:AGX2867	False				Reference	LUBWC304-25		NBNSYS0100000121	0		Neanuridae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Friesea%20truncata)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Friesea%20truncata%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Friesea%20truncata)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGX2866)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LUBWC304-25[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGX2866[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Friesea_truncata|BOLDAGX2867|LUBWC346-25	BOLD:AGX2867	Friesea truncata		UKSI_no_specimens	Germany	True	reference_tree			0.35	C	split_across_3_BINs	3	BOLD:AFA5784; BOLD:AGX2866; BOLD:AGX2867	False				Reference	LUBWC346-25		NBNSYS0100000121	0		Neanuridae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Friesea%20truncata)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Friesea%20truncata%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Friesea%20truncata)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGX2867)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LUBWC346-25[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGX2867[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Friesea_claviseta|BOLDACG6406|NORCO304-15	BOLD:ACG6406	Friesea claviseta	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.24_220.7ebb3d2b-6a2e-468f-b323-896dc89f4a11.jpg	UKSI_no_specimens	Norway	True	reference_tree			0.527	C	split_across_2_BINs	2	BOLD:AAB7291; BOLD:ACG6406	False				Reference	NORCO304-15		NBNSYS0100000117	0		Neanuridae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Friesea%20claviseta)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Friesea%20claviseta%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Friesea%20claviseta)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACG6406)	[🔬 This specimen](https://portal.boldsystems.org/result?query=NORCO304-15[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACG6406[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
