name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Meganola_albula|BOLDAAD8315|CGUKC429-09	BOLD:AAD8315	Meganola albula	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.17_202.2c075ac6-78ed-45ff-b316-175ecf78f4bd.jpg	UKSI_no_specimens	United Kingdom	True	reference_tree			0.959	A	clean	1	BOLD:AAD8315	False				Reference	CGUKC429-09		NHMSYS0021144954	0		Nolidae	British Isles	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Meganola%20albula)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Meganola%20albula%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Meganola%20albula)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD8315)	[🔬 This specimen](https://portal.boldsystems.org/result?query=CGUKC429-09[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD8315[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Meganola_strigula|BOLDAAD8314|NOELE2825-23	BOLD:AAD8314	Meganola strigula	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.15_129.91b646d3-afd2-4f60-b527-91c3b2a13b0d.jpg	UKSI_no_specimens	Austria	True	reference_tree			0.969	C	split_across_2_BINs	2	BOLD:AAD8314; BOLD:ABU8295	False				Reference	NOELE2825-23		NHMSYS0021144953	0		Nolidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Meganola%20strigula)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Meganola%20strigula%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Meganola%20strigula)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD8314)	[🔬 This specimen](https://portal.boldsystems.org/result?query=NOELE2825-23[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD8314[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Meganola_strigula|BOLDABU8295|IBLAO310-12	BOLD:ABU8295	Meganola strigula	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.12_296.c7bdd5fb-a80b-4a62-9490-4c56f5802269.jpg	UKSI_no_specimens	Spain	True	reference_tree			0.969	C	split_across_2_BINs	2	BOLD:AAD8314; BOLD:ABU8295	False				Reference	IBLAO310-12		NHMSYS0021144953	0		Nolidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Meganola%20strigula)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Meganola%20strigula%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Meganola%20strigula)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABU8295)	[🔬 This specimen](https://portal.boldsystems.org/result?query=IBLAO310-12[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABU8295[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_adelpha2|BOLDABY8960|GWOSO907-11	BOLD:ABY8960	Nola adelpha2	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.15_284.d494c710-8fec-4e03-b3b3-c5f25e0b5ee7.jpg	Europe_reference	Tanzania	False	reference_tree			0.999					False				Reference	GWOSO907-11			0		Nolidae	Africa	False	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20adelpha2)		[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20adelpha2)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABY8960)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWOSO907-11[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABY8960[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_tanzaniae13|BOLDABY8960|GWOSH679-10	BOLD:ABY8960	Nola tanzaniae13	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.18_197.37d4342a-7bea-408d-81e2-114de9f66038.jpg	Europe_reference	Tanzania	False	reference_tree			0.999					False				Reference	GWOSH679-10			0		Nolidae	Africa	False	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20tanzaniae13)		[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20tanzaniae13)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABY8960)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWOSH679-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABY8960[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_chlamitulalis|BOLDAAL6474|GWOSI211-10	BOLD:AAL6474	Nola chlamitulalis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.10_117.1061ef9e-9222-4d27-9ddc-cdd9c4e72f7e.jpg	UKSI_no_specimens	Greece	True	reference_tree			0.984	E	shares_BIN_with_other_species	2	BOLD:AAL6474; BOLD:ABA7671	False				Reference	GWOSI211-10		NHMSYS0021144960	0		Nolidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20chlamitulalis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20chlamitulalis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20chlamitulalis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAL6474)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWOSI211-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAL6474[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_subchlamydula|BOLDAAL6474|GWORZ087-10	BOLD:AAL6474	Nola subchlamydula	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.11_230.acb2b840-e801-4b4d-94c9-989c55e414f9.jpg	Europe_reference	Italy	False	reference_tree			0.984	E	shares_BIN_with_other_species	2	BOLD:AAL6474; BOLD:ABA7671	False				Reference	GWORZ087-10		NHMSYS0021144960	0		Nolidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20subchlamydula)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20subchlamydula%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20subchlamydula)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAL6474)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWORZ087-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAL6474[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_chlamitulalis|BOLDABA7671|GWORB4051-14	BOLD:ABA7671	Nola chlamitulalis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.14_189.9b8581c5-42e2-45e6-a090-35ddbaa09422.jpg	UKSI_no_specimens	Italy	True	reference_tree				E	shares_BIN_with_other_species	2	BOLD:AAL6474; BOLD:ABA7671	False				Reference	GWORB4051-14		NHMSYS0021144960	0		Nolidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20chlamitulalis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20chlamitulalis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20chlamitulalis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA7671)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWORB4051-14[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABA7671[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
Nola_infantula|BOLDABA7671|GWOSO863-11	BOLD:ABA7671	Nola infantula	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_115.3906a462-8859-493f-9005-ba23fe350a43.jpg	Europe_reference	Italy	False	reference_tree				E	shares_BIN_with_other_species	2	BOLD:AAL6474; BOLD:ABA7671	False				Reference	GWOSO863-11		NHMSYS0021144960	0		Nolidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20infantula)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20infantula%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20infantula)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA7671)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GWOSO863-11[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABA7671[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
Nola_krieugeri|BOLDABA7671|LPRCL1203-22	BOLD:ABA7671	Nola krieugeri	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.20_149.44b8181f-68c6-41fc-b79a-91f56c2dbd6f.jpg	Europe_reference	France	False	reference_tree			0.918	E	shares_BIN_with_other_species	2	BOLD:AAL6474; BOLD:ABA7671	False				Reference	LPRCL1203-22		NHMSYS0021144960	0		Nolidae	Western Europe	False	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20krieugeri)		[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20krieugeri)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA7671)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPRCL1203-22[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABA7671[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_confusalis|BOLDAAB5563|CGUKA295-09	BOLD:AAB5563	Nola confusalis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.24_130.14b6aaa2-ee5e-4ce4-80d2-e4e0a44d3268.jpg	UKSI_no_specimens	United Kingdom	True	reference_tree			0.256	A	clean	1	BOLD:AAB5563	False				Reference	CGUKA295-09		NHMSYS0000503395	0		Nolidae	British Isles	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20confusalis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20confusalis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20confusalis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB5563)	[🔬 This specimen](https://portal.boldsystems.org/result?query=CGUKA295-09[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAB5563[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_cucullatella|BOLDAAC2943|GRAEL6582-23	BOLD:AAC2943	Nola cucullatella	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.25_157.062d6399-8dd4-4b95-9366-24028e85dc5e.jpg	UKSI_no_specimens	France	True	reference_tree			1.0	E	shares_BIN_with_other_species	1	BOLD:AAC2943	False				Reference	GRAEL6582-23		NBNSYS0000006163	0		Nolidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20cucullatella)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20cucullatella%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20cucullatella)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2943)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GRAEL6582-23[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAC2943[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_tutulella|BOLDAAC2943|IBLAO1847-21	BOLD:AAC2943	Nola tutulella	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_226.9d27b675-4a6b-4566-88c4-c3485a810e8f.jpg	Europe_reference	Spain	False	reference_tree			1.0	E	shares_BIN_with_other_species	1	BOLD:AAC2943	False				Reference	IBLAO1847-21		NBNSYS0000006163	0		Nolidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20tutulella)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20tutulella%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20tutulella)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2943)	[🔬 This specimen](https://portal.boldsystems.org/result?query=IBLAO1847-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAC2943[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Nola_holsatica|BOLDAAF3258|GBAAY87750-24	BOLD:AAF3258	Nola holsatica		Europe_reference	Unrecoverable	False	reference_tree			0.998	E	shares_BIN_with_other_species	1	BOLD:AAF3258	False				Reference	GBAAY87750-24		NHMSYS0000503394	0		Nolidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Nola%20holsatica)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Nola%20holsatica%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Nola%20holsatica)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF3258)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAY87750-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAF3258[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
