name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Sperchonopsis_verrucosa|BOLDAEY9403|HYDOC085-22	BOLD:AEY9403	Sperchonopsis verrucosa	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.12_296.4d5fb280-9cb3-4963-a11d-60c7e962f120.jpg	UKSI_no_specimens	Belgium	True	reference_tree			0.989	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	HYDOC085-22		NBNSYS0100015299	0		Sperchontidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEY9403)	[🔬 This specimen](https://portal.boldsystems.org/result?query=HYDOC085-22[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEY9403[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDACS0909|HYDCA027-15	BOLD:ACS0909	Sperchonopsis verrucosa	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.17_232.77e5b235-e3f5-4174-a3c9-542daf17bf37.jpg	UKSI_no_specimens	Norway	True	reference_tree			0.991	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	HYDCA027-15		NBNSYS0100015299	0		Sperchontidae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACS0909)	[🔬 This specimen](https://portal.boldsystems.org/result?query=HYDCA027-15[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACS0909[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDAEI8826|MMHYD401-21	BOLD:AEI8826	Sperchonopsis verrucosa	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.21_216.26075148-2613-4344-9f74-4ceb28fe98b3.jpg	UKSI_no_specimens	Norway	True	reference_tree			0.991	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	MMHYD401-21		NBNSYS0100015299	0		Sperchontidae	Scandinavia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI8826)	[🔬 This specimen](https://portal.boldsystems.org/result?query=MMHYD401-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI8826[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDACS9705|BBIOP4254-25	BOLD:ACS9705	Sperchonopsis verrucosa	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.24_117.fb08b013-66b3-4541-b2cc-23f325e8f66d.jpg	UKSI_no_specimens	Portugal	True	reference_tree			1.0	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	BBIOP4254-25		NBNSYS0100015299	0		Sperchontidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACS9705)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BBIOP4254-25[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACS9705[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDAFV5639|BBIOP050-24	BOLD:AFV5639	Sperchonopsis verrucosa	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_221.b2c0e04c-6538-453a-a11a-333932c8f4fa.jpg	UKSI_no_specimens	Portugal	True	reference_tree			1.0	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	BBIOP050-24		NBNSYS0100015299	0		Sperchontidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AFV5639)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BBIOP050-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AFV5639[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDADU8190|GBMNB49294-20	BOLD:ADU8190	Sperchonopsis verrucosa		UKSI_no_specimens	Unknown	True	reference_tree			1.0	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	GBMNB49294-20		NBNSYS0100015299	0		Sperchontidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADU8190)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNB49294-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADU8190[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDAED4312|GBMNB49295-20	BOLD:AED4312	Sperchonopsis verrucosa		UKSI_no_specimens	Unknown	True	reference_tree			1.0	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	GBMNB49295-20		NBNSYS0100015299	0		Sperchontidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AED4312)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNB49295-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AED4312[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDACS0908|NLACA440-15	BOLD:ACS0908	Sperchonopsis verrucosa		UKSI_no_specimens	Netherlands	True	reference_tree			0.945	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	NLACA440-15		NBNSYS0100015299	0		Sperchontidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACS0908)	[🔬 This specimen](https://portal.boldsystems.org/result?query=NLACA440-15[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACS0908[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchonopsis_verrucosa|BOLDAEK8297|DCDDJ023-21	BOLD:AEK8297	Sperchonopsis verrucosa	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.16_135.e9409f47-d90d-45bd-9a72-58a49e84f46f.jpg	UKSI_no_specimens	Montenegro	True	reference_tree			0.945	E	shares_BIN_with_other_species	10	BOLD:ACS0908; BOLD:ACS0909; BOLD:ACS9705; BOLD:ADU8190; BOLD:AED4312; BOLD:AEI8826; BOLD:AEK8297; BOLD:AEY9403; BOLD:AFC7813; BOLD:AFV5639	False				Reference	DCDDJ023-21		NBNSYS0100015299	0		Sperchontidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchonopsis%20verrucosa)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchonopsis%20verrucosa%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchonopsis%20verrucosa)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEK8297)	[🔬 This specimen](https://portal.boldsystems.org/result?query=DCDDJ023-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEK8297[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Sperchon_glandulosus|BOLDAEI8945|DCCDB083-21	BOLD:AEI8945	Sperchon glandulosus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.18_120.c685f29a-c7b4-40d6-bc13-ed28cf1ec2b9.jpg	UKSI_no_specimens	Bosnia and Herzegovina	True	reference_tree			0.855	E	shares_BIN_with_other_species	8	BOLD:AAN9211; BOLD:ACQ0530; BOLD:ACR5909; BOLD:ADC0986; BOLD:AEI8945; BOLD:AER8061; BOLD:AES4247; BOLD:AGG3777	False				Reference	DCCDB083-21		NBNSYS0100015287	0		Sperchontidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Sperchon%20glandulosus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Sperchon%20glandulosus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Sperchon%20glandulosus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI8945)	[🔬 This specimen](https://portal.boldsystems.org/result?query=DCCDB083-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI8945[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
