name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Adscita_geryon|BOLDABY4365|GBAAZ8554-24	BOLD:ABY4365	Adscita geryon		UKSI_no_specimens	Unrecoverable	True	reference_tree				E	shares_BIN_with_other_species	5	BOLD:ABY4365; BOLD:ABY8876; BOLD:ABY8877; BOLD:ABY8878; BOLD:ACE3127	False				Reference	GBAAZ8554-24		NHMSYS0000501001	0		Zygaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20geryon)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20geryon%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20geryon)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABY4365)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAZ8554-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABY4365[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
Adscita_albanica|BOLDABY4365|GBAAY50166-24	BOLD:ABY4365	Adscita albanica		Europe_reference	Unrecoverable	False	reference_tree			0.74	E	shares_BIN_with_other_species	5	BOLD:ABY4365; BOLD:ABY8876; BOLD:ABY8877; BOLD:ABY8878; BOLD:ACE3127	False				Reference	GBAAY50166-24		NHMSYS0000501001	0		Zygaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20albanica)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20albanica%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20albanica)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABY4365)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAY50166-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABY4365[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_capitalis|BOLDACE3127|BGLIB070-23	BOLD:ACE3127	Adscita capitalis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.24_287.ca4423e1-b3ac-4893-91af-25c3aa6c2701.jpg	Europe_reference	Turkiye	False	reference_tree			0.977	E	shares_BIN_with_other_species	5	BOLD:ABY4365; BOLD:ABY8876; BOLD:ABY8877; BOLD:ABY8878; BOLD:ACE3127	False				Reference	BGLIB070-23		NHMSYS0000501001	0		Zygaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20capitalis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20capitalis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20capitalis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE3127)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BGLIB070-23[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACE3127[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_geryon|BOLDACE3127|ZYGMO266-10	BOLD:ACE3127	Adscita geryon	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_288.62bc68a2-ce3e-4fea-a4ac-c271a5dc9c0d.jpg	UKSI_no_specimens	North Macedonia	True	reference_tree			0.273	E	shares_BIN_with_other_species	5	BOLD:ABY4365; BOLD:ABY8876; BOLD:ABY8877; BOLD:ABY8878; BOLD:ACE3127	False				Reference	ZYGMO266-10		NHMSYS0000501001	0		Zygaenidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20geryon)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20geryon%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20geryon)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE3127)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ZYGMO266-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACE3127[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_geryon|BOLDABY8878|ZYGMO986-14	BOLD:ABY8878	Adscita geryon	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_158.5a0ff729-0bf8-4207-b0d2-ccdc734edf59.jpg	UKSI_no_specimens	Italy	True	reference_tree			0.751	E	shares_BIN_with_other_species	5	BOLD:ABY4365; BOLD:ABY8876; BOLD:ABY8877; BOLD:ABY8878; BOLD:ACE3127	False				Reference	ZYGMO986-14		NHMSYS0000501001	0		Zygaenidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20geryon)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20geryon%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20geryon)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABY8878)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ZYGMO986-14[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ABY8878[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_schmidti|BOLDAAD5110|ZYGMO069-09	BOLD:AAD5110	Adscita schmidti	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.21_103.86a8be03-fb8d-4220-83b3-e87e75e77e5c.jpg	Europe_reference	Spain	False	reference_tree			0.993	E	shares_BIN_with_other_species	4	BOLD:AAC9919; BOLD:AAD5110; BOLD:ACE4409; BOLD:ACS2890	False				Reference	ZYGMO069-09		NBNSYS0000005663	0		Zygaenidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20schmidti)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20schmidti%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20schmidti)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD5110)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ZYGMO069-09[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD5110[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_statices|BOLDACS2890|ZYGMO1127-14	BOLD:ACS2890	Adscita statices	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.11_129.15727941-786f-43d4-96e8-c33ded17ab2f.jpg	UKSI_no_specimens	Greece	True	reference_tree			0.849	E	shares_BIN_with_other_species	4	BOLD:AAC9919; BOLD:AAD5110; BOLD:ACE4409; BOLD:ACS2890	False				Reference	ZYGMO1127-14		NBNSYS0000005663	0		Zygaenidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20statices)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20statices%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20statices)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACS2890)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ZYGMO1127-14[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACS2890[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_statices|BOLDACE4409|ZYGMO241-10	BOLD:ACE4409	Adscita statices	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.14_111.2502397b-eb84-4703-8a10-d49804f100b7.jpg	UKSI_no_specimens	Austria	True	reference_tree			0.774	E	shares_BIN_with_other_species	4	BOLD:AAC9919; BOLD:AAD5110; BOLD:ACE4409; BOLD:ACS2890	False				Reference	ZYGMO241-10		NBNSYS0000005663	0		Zygaenidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20statices)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20statices%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20statices)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4409)	[🔬 This specimen](https://portal.boldsystems.org/result?query=ZYGMO241-10[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACE4409[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_italica|BOLDAAD5110|GBAAY51073-24	BOLD:AAD5110	Adscita italica		Europe_reference	Unrecoverable	False	reference_tree			0.684	E	shares_BIN_with_other_species	4	BOLD:AAC9919; BOLD:AAD5110; BOLD:ACE4409; BOLD:ACS2890	False				Reference	GBAAY51073-24		NBNSYS0000005663	0		Zygaenidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20italica)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20italica%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20italica)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD5110)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAY51073-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD5110[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Adscita_alpina|BOLDAAD5110|KURAL075-20	BOLD:AAD5110	Adscita alpina	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.13_246.392920af-f8e4-40f9-9e06-fad0c71d00de.jpg	Europe_reference	Italy	False	reference_tree			0.731	E	shares_BIN_with_other_species	4	BOLD:AAC9919; BOLD:AAD5110; BOLD:ACE4409; BOLD:ACS2890	False				Reference	KURAL075-20		NBNSYS0000005663	0		Zygaenidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Adscita%20alpina)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Adscita%20alpina%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Adscita%20alpina)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD5110)	[🔬 This specimen](https://portal.boldsystems.org/result?query=KURAL075-20[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAD5110[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
